CMDLINE python3 alignEM.py
MEM 296.714844 1670019779.0290
CHLD 34289 9.410156 1670019779.0405
CHLD 34296 26.406250 1670019779.0405
CHLD 34297 78.359375 1670019779.0405
CHLD 34307 142.503906 1670019779.0406
MEM 297.132812 1670019779.1430
CHLD 34289 9.410156 1670019779.1541
CHLD 34296 26.406250 1670019779.1542
CHLD 34297 78.359375 1670019779.1542
CHLD 34307 142.507812 1670019779.1543
CHLD 34308 10.019531 1670019779.1543
MEM 297.507812 1670019779.2589
CHLD 34289 9.410156 1670019779.2709
CHLD 34296 26.406250 1670019779.2709
CHLD 34297 78.359375 1670019779.2709
CHLD 34307 142.753906 1670019779.2710
CHLD 34308 10.019531 1670019779.2711
CHLD 34309 12.171875 1670019779.2711
CHLD 34310 12.156250 1670019779.2711
CHLD 34311 12.156250 1670019779.2711
CHLD 34312 12.171875 1670019779.2711
CHLD 34313 12.191406 1670019779.2711
CHLD 34314 12.156250 1670019779.2712
MEM 297.507812 1670019779.3714
CHLD 34289 9.410156 1670019779.3819
CHLD 34296 26.406250 1670019779.3819
CHLD 34297 78.359375 1670019779.3819
CHLD 34307 142.753906 1670019779.3819
CHLD 34308 10.019531 1670019779.3820
CHLD 34309 21.917969 1670019779.3820
CHLD 34310 21.863281 1670019779.3820
CHLD 34311 21.867188 1670019779.3820
CHLD 34312 21.910156 1670019779.3820
CHLD 34313 21.875000 1670019779.3820
CHLD 34314 21.886719 1670019779.3820
MEM 297.507812 1670019779.4823
CHLD 34289 9.410156 1670019779.4941
CHLD 34296 26.406250 1670019779.4942
CHLD 34297 78.359375 1670019779.4942
CHLD 34307 142.753906 1670019779.4942
CHLD 34308 10.019531 1670019779.4942
CHLD 34309 30.738281 1670019779.4943
CHLD 34310 30.687500 1670019779.4943
CHLD 34311 30.644531 1670019779.4943
CHLD 34312 30.683594 1670019779.4943
CHLD 34313 30.710938 1670019779.4943
CHLD 34314 30.730469 1670019779.4944
MEM 297.507812 1670019779.5967
CHLD 34289 9.410156 1670019779.6066
CHLD 34296 26.406250 1670019779.6067
CHLD 34297 78.359375 1670019779.6067
CHLD 34307 142.753906 1670019779.6067
CHLD 34308 10.019531 1670019779.6067
CHLD 34309 35.089844 1670019779.6067
CHLD 34310 35.070312 1670019779.6067
CHLD 34311 35.093750 1670019779.6067
CHLD 34312 35.101562 1670019779.6068
CHLD 34313 35.093750 1670019779.6068
CHLD 34314 35.054688 1670019779.6068
MEM 297.507812 1670019779.7070
CHLD 34289 9.410156 1670019779.7215
CHLD 34296 26.406250 1670019779.7215
CHLD 34297 79.765625 1670019779.7216
CHLD 34307 142.753906 1670019779.7216
CHLD 34308 10.019531 1670019779.7216
CHLD 34309 49.445312 1670019779.7216
CHLD 34310 49.425781 1670019779.7216
CHLD 34311 49.328125 1670019779.7217
CHLD 34312 49.515625 1670019779.7217
CHLD 34313 49.535156 1670019779.7217
CHLD 34314 49.468750 1670019779.7217
MEM 297.484375 1670019779.8222
CHLD 34289 9.410156 1670019779.8353
CHLD 34296 26.406250 1670019779.8354
CHLD 34297 79.312500 1670019779.8354
CHLD 34307 142.753906 1670019779.8354
CHLD 34308 10.019531 1670019779.8354
CHLD 34309 58.101562 1670019779.8354
CHLD 34310 58.171875 1670019779.8355
CHLD 34311 58.109375 1670019779.8355
CHLD 34312 58.179688 1670019779.8355
CHLD 34313 58.160156 1670019779.8355
CHLD 34314 58.117188 1670019779.8355
MEM 297.484375 1670019779.9406
CHLD 34289 9.410156 1670019779.9530
CHLD 34296 26.406250 1670019779.9530
CHLD 34297 79.312500 1670019779.9530
CHLD 34307 142.753906 1670019779.9530
CHLD 34308 10.019531 1670019779.9530
CHLD 34309 63.472656 1670019779.9531
CHLD 34310 63.550781 1670019779.9531
CHLD 34311 63.500000 1670019779.9531
CHLD 34312 63.578125 1670019779.9531
CHLD 34313 63.515625 1670019779.9531
CHLD 34314 63.488281 1670019779.9532
MEM 297.484375 1670019780.0567
CHLD 34289 9.410156 1670019780.0685
CHLD 34296 26.406250 1670019780.0686
CHLD 34297 79.312500 1670019780.0686
CHLD 34307 142.753906 1670019780.0686
CHLD 34308 10.019531 1670019780.0686
CHLD 34309 74.277344 1670019780.0686
CHLD 34310 74.359375 1670019780.0686
CHLD 34311 74.324219 1670019780.0686
CHLD 34312 74.441406 1670019780.0687
CHLD 34313 74.335938 1670019780.0687
CHLD 34314 74.324219 1670019780.0687
MEM 297.484375 1670019780.1703
CHLD 34289 9.410156 1670019780.1886
CHLD 34296 26.406250 1670019780.1886
CHLD 34297 79.312500 1670019780.1886
CHLD 34307 142.753906 1670019780.1887
CHLD 34308 10.019531 1670019780.1887
CHLD 34309 80.804688 1670019780.1887
CHLD 34310 80.816406 1670019780.1887
CHLD 34311 80.839844 1670019780.1887
CHLD 34312 80.843750 1670019780.1887
CHLD 34313 80.839844 1670019780.1887
CHLD 34314 80.824219 1670019780.1888
MEM 297.484375 1670019780.2930
CHLD 34289 9.410156 1670019780.3052
CHLD 34296 26.406250 1670019780.3052
CHLD 34297 79.312500 1670019780.3053
CHLD 34307 142.753906 1670019780.3053
CHLD 34308 10.019531 1670019780.3053
CHLD 34309 85.472656 1670019780.3053
CHLD 34310 85.480469 1670019780.3053
CHLD 34311 85.554688 1670019780.3053
