CMDLINE python3 alignEM.py
CHLD 34614 25.988281 1670019947.2763
CHLD 34615 79.398438 1670019947.2763
MEM 247.511719 1670019947.3795
CHLD 34605 9.523438 1670019947.3876
CHLD 34614 25.988281 1670019947.3876
CHLD 34615 79.398438 1670019947.3876
MEM 247.511719 1670019947.4895
CHLD 34605 9.523438 1670019947.4977
CHLD 34614 25.988281 1670019947.4977
CHLD 34615 79.398438 1670019947.4977
MEM 247.511719 1670019947.5998
CHLD 34605 9.523438 1670019947.6081
CHLD 34614 25.988281 1670019947.6081
CHLD 34615 79.398438 1670019947.6082
MEM 247.511719 1670019947.7088
CHLD 34605 9.523438 1670019947.7176
CHLD 34614 25.988281 1670019947.7176
CHLD 34615 79.398438 1670019947.7176
MEM 247.511719 1670019947.8212
CHLD 34605 9.523438 1670019947.8312
CHLD 34614 25.988281 1670019947.8313
CHLD 34615 79.398438 1670019947.8313
MEM 247.488281 1670019947.9359
CHLD 34605 9.523438 1670019947.9455
CHLD 34614 25.988281 1670019947.9456
CHLD 34615 79.398438 1670019947.9456
MEM 247.488281 1670019948.0470
CHLD 34605 9.523438 1670019948.0562
CHLD 34614 25.988281 1670019948.0562
CHLD 34615 79.398438 1670019948.0562
MEM 247.488281 1670019948.1567
CHLD 34605 9.523438 1670019948.1652
CHLD 34614 25.988281 1670019948.1652
CHLD 34615 79.398438 1670019948.1653
MEM 247.488281 1670019948.2682
CHLD 34605 9.523438 1670019948.2772
CHLD 34614 25.988281 1670019948.2772
CHLD 34615 79.398438 1670019948.2772
MEM 247.488281 1670019948.3807
CHLD 34605 9.523438 1670019948.3885
CHLD 34614 25.988281 1670019948.3885
CHLD 34615 79.398438 1670019948.3885
MEM 247.488281 1670019948.4909
CHLD 34605 9.523438 1670019948.4996
CHLD 34614 25.988281 1670019948.4996
CHLD 34615 79.398438 1670019948.4997
MEM 247.488281 1670019948.6047
CHLD 34605 9.523438 1670019948.6147
CHLD 34614 25.988281 1670019948.6147
CHLD 34615 79.398438 1670019948.6147
MEM 247.488281 1670019948.7153
CHLD 34605 9.523438 1670019948.7233
CHLD 34614 25.988281 1670019948.7233
CHLD 34615 79.398438 1670019948.7233
MEM 247.488281 1670019948.8275
CHLD 34605 9.523438 1670019948.8358
CHLD 34614 25.988281 1670019948.8358
CHLD 34615 79.398438 1670019948.8358
MEM 247.488281 1670019948.9362
CHLD 34605 9.523438 1670019948.9462
CHLD 34614 25.988281 1670019948.9462
CHLD 34615 79.398438 1670019948.9462
MEM 247.488281 1670019949.0482
CHLD 34605 9.523438 1670019949.0569
CHLD 34614 25.988281 1670019949.0569
CHLD 34615 80.238281 1670019949.0569
MEM 247.488281 1670019949.1585
CHLD 34605 9.523438 1670019949.1681
CHLD 34614 25.988281 1670019949.1681
CHLD 34615 80.238281 1670019949.1681
MEM 247.488281 1670019949.2716
CHLD 34605 9.523438 1670019949.2807
CHLD 34614 25.988281 1670019949.2807
CHLD 34615 80.238281 1670019949.2807
MEM 247.488281 1670019949.3815
CHLD 34605 9.523438 1670019949.3895
CHLD 34614 25.988281 1670019949.3895
CHLD 34615 80.238281 1670019949.3896
MEM 247.488281 1670019949.4923
CHLD 34605 9.523438 1670019949.5003
CHLD 34614 25.988281 1670019949.5004
CHLD 34615 80.238281 1670019949.5004
MEM 247.488281 1670019949.6057
CHLD 34605 9.523438 1670019949.6153
CHLD 34614 25.988281 1670019949.6153
CHLD 34615 80.238281 1670019949.6154
MEM 247.492188 1670019949.7204
CHLD 34605 9.523438 1670019949.7315
CHLD 34614 25.988281 1670019949.7315
CHLD 34615 80.238281 1670019949.7315
MEM 247.496094 1670019949.8346
CHLD 34605 9.523438 1670019949.8446
CHLD 34614 25.988281 1670019949.8446
CHLD 34615 80.238281 1670019949.8446
MEM 247.496094 1670019949.9452
CHLD 34605 9.523438 1670019949.9550
CHLD 34614 25.988281 1670019949.9550
CHLD 34615 80.269531 1670019949.9550
MEM 247.496094 1670019950.0596
CHLD 34605 9.523438 1670019950.0694
CHLD 34614 25.988281 1670019950.0694
CHLD 34615 80.269531 1670019950.0694
MEM 247.496094 1670019950.1743
CHLD 34605 9.523438 1670019950.1845
CHLD 34614 25.988281 1670019950.1845
CHLD 34615 80.269531 1670019950.1846
MEM 247.496094 1670019950.2861
CHLD 34605 9.523438 1670019950.2949
CHLD 34614 25.988281 1670019950.2949
CHLD 34615 80.269531 1670019950.2949
MEM 247.496094 1670019950.3978
CHLD 34605 9.523438 1670019950.4063
CHLD 34614 25.988281 1670019950.4063
CHLD 34615 80.269531 1670019950.4064
MEM 247.496094 1670019950.5082
CHLD 34605 9.523438 1670019950.5161
CHLD 34614 25.988281 1670019950.5161
CHLD 34615 80.269531 1670019950.5162
MEM 247.460938 1670019950.6184
CHLD 34605 9.523438 1670019950.6266
CHLD 34614 25.988281 1670019950.6267
CHLD 34615 80.269531 1670019950.6267
MEM 247.460938 1670019950.7288
CHLD 34605 9.523438 1670019950.7405
CHLD 34614 25.988281 1670019950.7405
CHLD 34615 80.269531 1670019950.7405
MEM 247.460938 1670019950.8419
CHLD 34605 9.523438 1670019950.8497
CHLD 34614 25.988281 1670019950.8497
CHLD 34615 80.269531 1670019950.8498
MEM 247.460938 1670019950.9547
CHLD 34605 9.523438 1670019950.9652
CHLD 34614 25.988281 1670019950.9652
CHLD 34615 80.277344 1670019950.9652
MEM 247.460938 1670019951.0657
CHLD 34605 9.523438 1670019951.0748
CHLD 34614 25.988281 1670019951.0748
CHLD 34615 80.277344 1670019951.0748
MEM 247.460938 1670019951.1751
CHLD 34605 9.523438 1670019951.1876
CHLD 34614 25.988281 1670019951.1877
CHLD 34615 80.277344 1670019951.1877
MEM 247.460938 1670019951.2919
CHLD 34605 9.523438 1670019951.3024
CHLD 34614 25.988281 1670019951.3024
CHLD 34615 80.277344 1670019951.3024
MEM 247.460938 1670019951.4050
CHLD 34605 9.523438 1670019951.4142
CHLD 34614 25.988281 1670019951.4142
CHLD 34615 80.277344 1670019951.4142
MEM 247.460938 1670019951.5150
CHLD 34605 9.523438 1670019951.5262
CHLD 34614 25.988281 1670019951.5262
CHLD 34615 80.277344 1670019951.5262
MEM 247.460938 1670019951.6281
CHLD 34605 9.523438 1670019951.6379
CHLD 34614 25.988281 1670019951.6380
CHLD 34615 80.277344 1670019951.6380
MEM 247.460938 1670019951.7388
CHLD 34605 9.523438 1670019951.7498
CHLD 34614 25.988281 1670019951.7498
CHLD 34615 80.277344 1670019951.7498
MEM 247.460938 1670019951.8550
CHLD 34605 9.523438 1670019951.8642
CHLD 34614 25.988281 1670019951.8643
CHLD 34615 80.277344 1670019951.8643
MEM 247.460938 1670019951.9682
CHLD 34605 9.523438 1670019951.9763
CHLD 34614 25.988281 1670019951.9763
CHLD 34615 80.277344 1670019951.9763
MEM 247.460938 1670019952.0765
CHLD 34605 9.523438 1670019952.0882
CHLD 34614 25.988281 1670019952.0883
CHLD 34615 80.277344 1670019952.0883
MEM 247.460938 1670019952.1915
CHLD 34605 9.523438 1670019952.2014
CHLD 34614 25.988281 1670019952.2014
CHLD 34615 80.277344 1670019952.2014
MEM 247.460938 1670019952.3048
CHLD 34605 9.523438 1670019952.3156
CHLD 34614 25.988281 1670019952.3157
CHLD 34615 80.277344 1670019952.3157
MEM 247.460938 1670019952.4209
CHLD 34605 9.523438 1670019952.4311
CHLD 34614 25.988281 1670019952.4311
CHLD 34615 80.277344 1670019952.4311
MEM 247.460938 1670019952.5360
CHLD 34605 9.523438 1670019952.5473
CHLD 34614 25.988281 1670019952.5473
CHLD 34615 80.277344 1670019952.5473
MEM 247.460938 1670019952.6502
CHLD 34605 9.523438 1670019952.6590
CHLD 34614 25.988281 1670019952.6590
CHLD 34615 80.277344 1670019952.6591
MEM 247.460938 1670019952.7605
CHLD 34605 9.523438 1670019952.7697
CHLD 34614 25.988281 1670019952.7697
CHLD 34615 80.277344 1670019952.7697
MEM 247.460938 1670019952.8731
CHLD 34605 9.523438 1670019952.8843
CHLD 34614 25.988281 1670019952.8843
CHLD 34615 80.277344 1670019952.8843
MEM 247.460938 1670019952.9860
CHLD 34605 9.523438 1670019952.9946
CHLD 34614 25.988281 1670019952.9946
CHLD 34615 80.277344 1670019952.9946
MEM 247.460938 1670019953.0990
CHLD 34605 9.523438 1670019953.1103
CHLD 34614 25.988281 1670019953.1103
CHLD 34615 80.277344 1670019953.1103
MEM 247.460938 1670019953.2111
